DATA_WIDTH, ADDR_WIDTH, CFG_REG_WIDTH, NUM_OF_CFG_REGS, MEM_DATA_WIDTH, BUFF_SIZE, LATENCY, MEMORY_BANDWIDTH, RESULT OF TEST,,,,,,
8,8,8,2,1100,256,200,300,378,,,1,237,,
8,8,8,2,1100,256,2000,300,2184,,,2,292,,
8,8,8,16,1100,256,200,300,1127,,,4,292,,
8,8,8,16,1100,256,2000,300,2933,,,8,292,,
8,8,8,256,1100,256,200,300,14347,,,,,,
8,8,8,256,1100,256,2000,300,16153,,,,,,
8,8,8,1024,1100,256,200,300,56587,,,,,,
8,8,8,1024,1100,256,2000,300,58393,,,,,,
8,8,16,2,1100,256,200,300,378,,,,,,
8,8,16,2,1100,256,2000,300,2184,,,,,,
8,8,16,16,1100,256,200,300,1127,,,,,,
8,8,16,16,1100,256,2000,300,2933,,,,,,
8,8,16,256,1100,256,200,300,14347,,,,,,
8,8,16,256,1100,256,2000,300,16153,,,,,,
8,8,16,1024,1100,256,200,300,56587,,,,,,
8,8,16,1024,1100,256,2000,300,58393,,,,,,
8,8,32,2,1100,256,200,300,373,,,,,,
8,8,32,2,1100,256,2000,300,2179,,,,,,
8,8,32,16,1100,256,200,300,1141,,,,,,
8,8,32,16,1100,256,2000,300,2933,,,,,,
8,8,32,256,1100,256,200,300,14096,,,,,,
8,8,32,256,1100,256,2000,300,15902,,,,,,
8,8,32,1024,1100,256,200,300,55568,,,,,,
8,8,32,1024,1100,256,2000,300,57374,,,,,,
8,16,8,2,1100,256,200,300,413,,,,,,
8,16,8,2,1100,256,2000,300,2205,,,,,,
8,16,8,16,1100,256,200,300,1334,,,,,,
8,16,8,16,1100,256,2000,300,3126,,,,,,
8,16,8,256,1100,256,200,300,16668,,,,,,
8,16,8,256,1100,256,2000,300,18460,,,,,,
8,16,8,1024,1100,256,200,300,65820,,,,,,
8,16,8,1024,1100,256,2000,300,67612,,,,,,
8,16,16,2,1100,256,200,300,378,,,,,,
8,16,16,2,1100,256,2000,300,2184,,,,,,
8,16,16,16,1100,256,200,300,1127,,,,,1,401
8,16,16,16,1100,256,2000,300,2933,,,,,2,661
8,16,16,256,1100,256,200,300,14347,,,,,4,922
8,16,16,256,1100,256,2000,300,16153,,,,,8,1477
8,16,16,1024,1100,256,200,300,56587,,,,,,
8,16,16,1024,1100,256,2000,300,58393,,,,,,
