DATA_WIDTH, ADDR_WIDTH, CFG_REG_WIDTH, NUM_OF_CFG_REGS, MEM_DATA_WIDTH, BUFF_SIZE, LATENCY, MEMORY_BANDWIDTH, RESULT OF TEST
8, 8, 8, 2, 1100, 256, 200, 300, 295
8, 8, 8, 2, 1100, 256, 3000, 300, 3095
8, 8, 8, 16, 1100, 256, 200, 300, 760
8, 8, 8, 16, 1100, 256, 3000, 300, 3560
8, 8, 8, 256, 1100, 256, 200, 300, 8440
8, 8, 8, 256, 1100, 256, 3000, 300, 11240
8, 8, 8, 1024, 1100, 256, 200, 300, 33016
8, 8, 8, 1024, 1100, 256, 3000, 300, 35816
8, 8, 16, 2, 1100, 256, 200, 300, 295
8, 8, 16, 2, 1100, 256, 3000, 300, 3095
8, 8, 16, 16, 1100, 256, 200, 300, 760
8, 8, 16, 16, 1100, 256, 3000, 300, 3560
8, 8, 16, 256, 1100, 256, 200, 300, 8440
8, 8, 16, 256, 1100, 256, 3000, 300, 11240
8, 8, 16, 1024, 1100, 256, 200, 300, 33016
8, 8, 16, 1024, 1100, 256, 3000, 300, 35816
