DATA_WIDTH, ADDR_WIDTH, CFG_REG_WIDTH, NUM_OF_CFG_REGS, MEM_DATA_WIDTH, BUFF_SIZE, LATENCY, MEMORY_BANDWIDTH, RESULT OF TEST
8, 8, 8, 2, 1100, 256, 200, 300, 237
8, 8, 8, 2, 1100, 256, 2000, 300, 2037
8, 8, 8, 16, 1100, 256, 200, 300, 401
8, 8, 8, 16, 1100, 256, 2000, 300, 2201
8, 8, 8, 256, 1100, 256, 200, 300, 3303
8, 8, 8, 256, 1100, 256, 2000, 300, 5103
8, 8, 8, 1024, 1100, 256, 200, 300, 12519
8, 8, 8, 1024, 1100, 256, 2000, 300, 14319
8, 8, 16, 2, 1100, 256, 200, 300, 237
8, 8, 16, 2, 1100, 256, 2000, 300, 2037
8, 8, 16, 16, 1100, 256, 200, 300, 401
8, 8, 16, 16, 1100, 256, 2000, 300, 2201
8, 8, 16, 256, 1100, 256, 200, 300, 3303
8, 8, 16, 256, 1100, 256, 2000, 300, 5103
8, 8, 16, 1024, 1100, 256, 200, 300, 12519
8, 8, 16, 1024, 1100, 256, 2000, 300, 14319
8, 8, 32, 2, 1100, 256, 200, 300, 237
8, 8, 32, 2, 1100, 256, 2000, 300, 2037
8, 8, 32, 16, 1100, 256, 200, 300, 401
8, 8, 32, 16, 1100, 256, 2000, 300, 2201
8, 8, 32, 256, 1100, 256, 200, 300, 3303
8, 8, 32, 256, 1100, 256, 2000, 300, 5103
8, 8, 32, 1024, 1100, 256, 200, 300, 12519
8, 8, 32, 1024, 1100, 256, 2000, 300, 14319
8, 8, 64, 2, 1100, 256, 200, 300, 237
8, 8, 64, 2, 1100, 256, 2000, 300, 2037
8, 8, 64, 16, 1100, 256, 200, 300, 401
8, 8, 64, 16, 1100, 256, 2000, 300, 2201
8, 8, 64, 256, 1100, 256, 200, 300, 3303
8, 8, 64, 256, 1100, 256, 2000, 300, 5103
8, 8, 64, 1024, 1100, 256, 200, 300, 12519
8, 8, 64, 1024, 1100, 256, 2000, 300, 14319
8, 16, 8, 2, 1100, 256, 200, 300, 299
8, 16, 8, 2, 1100, 256, 2000, 300, 2099
8, 16, 8, 16, 1100, 256, 200, 300, 661
8, 16, 8, 16, 1100, 256, 2000, 300, 2461
8, 16, 8, 256, 1100, 256, 200, 300, 7024
8, 16, 8, 256, 1100, 256, 2000, 300, 8824
8, 16, 8, 1024, 1100, 256, 200, 300, 27376
8, 16, 8, 1024, 1100, 256, 2000, 300, 29176
8, 16, 16, 2, 1100, 256, 200, 300, 237
8, 16, 16, 2, 1100, 256, 2000, 300, 2037
8, 16, 16, 16, 1100, 256, 200, 300, 401
8, 16, 16, 16, 1100, 256, 2000, 300, 2201
8, 16, 16, 256, 1100, 256, 200, 300, 3303
8, 16, 16, 256, 1100, 256, 2000, 300, 5103
8, 16, 16, 1024, 1100, 256, 200, 300, 12519
8, 16, 16, 1024, 1100, 256, 2000, 300, 14319
8, 16, 32, 2, 1100, 256, 200, 300, 237
8, 16, 32, 2, 1100, 256, 2000, 300, 2037
8, 16, 32, 16, 1100, 256, 200, 300, 401
8, 16, 32, 16, 1100, 256, 2000, 300, 2201
8, 16, 32, 256, 1100, 256, 200, 300, 3303
8, 16, 32, 256, 1100, 256, 2000, 300, 5103
8, 16, 32, 1024, 1100, 256, 200, 300, 12519
8, 16, 32, 1024, 1100, 256, 2000, 300, 14319
8, 16, 64, 2, 1100, 256, 200, 300, 237
8, 16, 64, 2, 1100, 256, 2000, 300, 2037
8, 16, 64, 16, 1100, 256, 200, 300, 401
8, 16, 64, 16, 1100, 256, 2000, 300, 2201
8, 16, 64, 256, 1100, 256, 200, 300, 3303
8, 16, 64, 256, 1100, 256, 2000, 300, 5103
8, 16, 64, 1024, 1100, 256, 200, 300, 12519
8, 16, 64, 1024, 1100, 256, 2000, 300, 14319
8, 32, 8, 2, 1100, 256, 200, 300, 292
8, 32, 8, 2, 1100, 256, 2000, 300, 2092
8, 32, 8, 16, 1100, 256, 200, 300, 922
8, 32, 8, 16, 1100, 256, 2000, 300, 2722
8, 32, 8, 256, 1100, 256, 200, 300, 11166
8, 32, 8, 256, 1100, 256, 2000, 300, 12966
8, 32, 8, 1024, 1100, 256, 200, 300, 43902
8, 32, 8, 1024, 1100, 256, 2000, 300, 45702
8, 32, 16, 2, 1100, 256, 200, 300, 292
8, 32, 16, 2, 1100, 256, 2000, 300, 2092
8, 32, 16, 16, 1100, 256, 200, 300, 660
8, 32, 16, 16, 1100, 256, 2000, 300, 2460
8, 32, 16, 256, 1100, 256, 200, 300, 7024
8, 32, 16, 256, 1100, 256, 2000, 300, 8824
8, 32, 16, 1024, 1100, 256, 200, 300, 27376
8, 32, 16, 1024, 1100, 256, 2000, 300, 29176
8, 32, 32, 2, 1100, 256, 200, 300, 237
8, 32, 32, 2, 1100, 256, 2000, 300, 2037
8, 32, 32, 16, 1100, 256, 200, 300, 401
8, 32, 32, 16, 1100, 256, 2000, 300, 2201
8, 32, 32, 256, 1100, 256, 200, 300, 3303
8, 32, 32, 256, 1100, 256, 2000, 300, 5103
8, 32, 32, 1024, 1100, 256, 200, 300, 12519
8, 32, 32, 1024, 1100, 256, 2000, 300, 14319
8, 32, 64, 2, 1100, 256, 200, 300, 237
8, 32, 64, 2, 1100, 256, 2000, 300, 2037
8, 32, 64, 16, 1100, 256, 200, 300, 401
8, 32, 64, 16, 1100, 256, 2000, 300, 2201
8, 32, 64, 256, 1100, 256, 200, 300, 3303
8, 32, 64, 256, 1100, 256, 2000, 300, 5103
8, 32, 64, 1024, 1100, 256, 200, 300, 12519
8, 32, 64, 1024, 1100, 256, 2000, 300, 14319
8, 64, 8, 2, 1100, 256, 200, 300, 292
8, 64, 8, 2, 1100, 256, 2000, 300, 2092
8, 64, 8, 16, 1100, 256, 200, 300, 1477
8, 64, 8, 16, 1100, 256, 2000, 300, 3277
8, 64, 8, 256, 1100, 256, 200, 300, 19621
8, 64, 8, 256, 1100, 256, 2000, 300, 21421
8, 64, 8, 1024, 1100, 256, 200, 300, 77605
8, 64, 8, 1024, 1100, 256, 2000, 300, 79405
8, 64, 16, 2, 1100, 256, 200, 300, 292
8, 64, 16, 2, 1100, 256, 2000, 300, 2092
8, 64, 16, 16, 1100, 256, 200, 300, 922
8, 64, 16, 16, 1100, 256, 2000, 300, 2722
8, 64, 16, 256, 1100, 256, 200, 300, 11166
8, 64, 16, 256, 1100, 256, 2000, 300, 12966
8, 64, 16, 1024, 1100, 256, 200, 300, 43902
8, 64, 16, 1024, 1100, 256, 2000, 300, 45702
8, 64, 32, 2, 1100, 256, 200, 300, 292
8, 64, 32, 2, 1100, 256, 2000, 300, 2092
8, 64, 32, 16, 1100, 256, 200, 300, 660
8, 64, 32, 16, 1100, 256, 2000, 300, 2460
8, 64, 32, 256, 1100, 256, 200, 300, 7024
8, 64, 32, 256, 1100, 256, 2000, 300, 8824
8, 64, 32, 1024, 1100, 256, 200, 300, 27376
8, 64, 32, 1024, 1100, 256, 2000, 300, 29176
8, 64, 64, 2, 1100, 256, 200, 300, 237
8, 64, 64, 2, 1100, 256, 2000, 300, 2037
8, 64, 64, 16, 1100, 256, 200, 300, 401
8, 64, 64, 16, 1100, 256, 2000, 300, 2201
8, 64, 64, 256, 1100, 256, 200, 300, 3303
8, 64, 64, 256, 1100, 256, 2000, 300, 5103
8, 64, 64, 1024, 1100, 256, 200, 300, 12519
8, 64, 64, 1024, 1100, 256, 2000, 300, 14319
